Latitude,Longitude,Cluster
36.047598,-80.239341,85
36.171244,-80.277212,-1
36.1059364934767,-80.2587788528864,195
36.0407795625797,-80.2159658983877,-1
36.061589,-80.311819,86
36.068015,-80.285604,-1
36.009625,-80.262499,-1
36.2010007,-80.2833275,-1
36.0501157011404,-80.2502486228774,-1
36.12227,-80.220998,181
36.09651,-80.242718,268
36.09651,-80.242718,268
36.115186,-80.241164,241
36.0943202182096,-80.2710298950326,161
36.1777058809524,-80.3100082142857,-1
36.066588,-80.251742,-1
36.027742,-80.263214,23
36.069792,-80.297193,58
36.078456,-80.25991,-1
36.142806,-80.298246,110
36.124315,-80.187973,-1
36.0991461632653,-80.2522116734694,275
36.053305,-80.215237,122
36.142691,-80.297909,110
36.105975,-80.260878,194
36.09651,-80.242718,268
36.0990155714286,-80.2532951428571,276
36.0769725,-80.3025498,84
36.108425,-80.252045,199
36.0859943,-80.2449371,-1
36.09651,-80.242718,268
36.0664595454546,-80.2065378787879,-1
36.0692012,-80.2973924,58
36.041533,-80.256653,29
36.104154,-80.230087,207
36.17271825,-80.2648705,-1
36.099555,-80.248154,-1
36.0769944489796,-80.2736506326531,-1
36.105975,-80.260878,194
36.070797,-80.153789,-1
36.150568,-80.274778,118
36.099272,-80.247014,278
36.0990155714286,-80.2532951428571,276
36.09651,-80.242718,268
36.0778817,-80.2262459,132
36.027742,-80.263214,23
36.053721,-80.257649,75
36.1013878367347,-80.228759122449,224
36.09651,-80.242718,268
36.10576,-80.205543,-1
36.1860095844169,-80.2628647187079,-1
36.063949,-80.316011,-1
36.136641,-80.247028,-1
36.09651,-80.242718,268
36.073004,-80.178191,-1
36.0998131,-80.2440518,274
36.061563,-80.349069,-1
36.09651,-80.242718,268
36.065673,-80.178445,25
36.0200309294378,-80.2562923004842,-1
36.09651,-80.242718,268
36.105975,-80.260878,194
36.139029,-80.282551,-1
36.0792093161532,-80.2247480322975,132
36.0792093161532,-80.2247480322975,132
36.0792093161532,-80.2247480322975,132
36.106909,-80.226339,200
36.0720567021366,-80.3037489912703,-1
36.068235,-80.3032388,55
36.1695977936107,-80.2927959910168,50
36.157311,-80.251467,96
36.0619484081633,-80.2228065510204,-1
36.083061,-80.328794,-1
36.066775,-80.218838,142
36.1500061781787,-80.2440980677092,102
36.09651,-80.242718,268
36.0647657252668,-80.3053120449406,79
36.068721122449,-80.2078643673469,-1
36.09651,-80.242718,268
36.1500061781787,-80.2440980677092,102
36.06721,-80.31996,72
36.148552,-80.226336,104
36.121657,-80.24402,187
36.121657,-80.24402,187
36.188438,-80.277755,14
36.097969,-80.248767,288
36.097969,-80.248767,288
36.1073050011294,-80.2669905117694,-1
36.105975,-80.260878,194
36.105975,-80.260878,194
36.1917571281901,-80.2784244257259,-1
36.127367,-80.210999,-1
36.168761,-80.285982,47
36.0696056464646,-80.3401606969697,61
36.099842,-80.245251,287
36.098389,-80.24591,300
36.105975,-80.260878,194
36.09651,-80.242718,268
36.1659514341801,-80.3069456797537,-1
36.09651,-80.242718,268
36.09651,-80.242718,268
36.0300064731146,-80.2618456125504,24
36.027742,-80.263214,23
36.09651,-80.242718,268
36.09651,-80.242718,268
36.07346,-80.189423,125
36.1519696976744,-80.2928884651163,-1
36.0985842157991,-80.2095236207178,-1
36.0747435896522,-80.3369473376764,92
36.105975,-80.260878,194
36.1477597772682,-80.2523273763957,-1
36.09651,-80.242718,268
36.0477992983934,-80.2929549261774,-1
36.09651,-80.242718,268
36.09651,-80.242718,268
36.0778850663463,-80.1748795063298,-1
36.0721761,-80.2967021,-1
36.09651,-80.242718,268
36.066682,-80.21983,142
36.102168,-80.2077,164
36.119529,-80.25573,173
36.105975,-80.260878,194
36.1528597456009,-80.2632944256372,98
36.18006265,-80.2778819457842,-1
36.169152,-80.282724,47
36.1162007468437,-80.209006876,176
36.09651,-80.242718,268
36.193135,-80.279361,10
36.077954,-80.2376778,134
36.1442885864049,-80.299809271757,111
36.065454,-80.276826,31
36.099582,-80.2298207142857,-1
36.1117073333333,-80.2253792469136,-1
36.109472,-80.214409,140
36.06783,-80.219815,151
36.150043383634,-80.2441078007819,102
36.027742,-80.263214,23
36.105576,-80.222395,204
36.092722,-80.26415,209
36.0982022722477,-80.2344248752119,208
36.072625,-80.338399,65
36.0645708828866,-80.2122380521467,-1
36.1075,-80.146174,-1
36.051607,-80.274892,-1
36.1282553265306,-80.2042934489796,-1
36.09651,-80.242718,268
36.0982572,-80.2538157,-1
36.0982572,-80.2538157,-1
36.072625,-80.338399,65
36.0998131,-80.2440518,274
36.0424698,-80.230568,-1
36.105975,-80.260878,194
36.105975,-80.260878,194
36.09651,-80.242718,268
36.1688930353138,-80.2609049929505,38
36.1688930353138,-80.2609049929505,38
36.064604,-80.313357,-1
36.102184,-80.228487,237
36.0526585714286,-80.2222741428571,122
36.072625,-80.338399,65
36.0647657252668,-80.3053120449406,79
36.0857262431783,-80.1461632131926,-1
36.114769,-80.23452,280
36.114769,-80.23452,280
36.09651,-80.242718,268
36.1220465693864,-80.3796299730712,-1
36.1702166769409,-80.3225793763404,44
36.09651,-80.242718,268
36.053417,-80.231894,-1
36.09651,-80.242718,268
36.029668,-80.261939,24
36.072625,-80.338399,65
36.069671,-80.238788,-1
36.069792,-80.297193,58
36.146544,-80.24426,-1
36.117551,-80.237872,-1
36.142631,-80.244051,-1
36.09651,-80.242718,268
36.142631,-80.244051,-1
36.09651,-80.242718,268
36.029668,-80.261939,24
36.029668,-80.261939,24
36.072625,-80.338399,65
36.0664774693878,-80.2096233061224,-1
36.0990155714286,-80.2532951428571,276
36.099297,-80.24747,278
36.099297,-80.24747,278
36.062812,-80.301721,82
36.027742,-80.263214,23
36.027742,-80.263214,23
36.027742,-80.263214,23
36.053024,-80.231089,-1
36.169152,-80.282724,47
36.098965,-80.253776,276
36.076005,-80.296537,83
36.121657,-80.24402,187
36.027742,-80.263214,23
36.027742,-80.263214,23
36.1674905,-80.2838875,48
36.0499188028578,-80.249958721228,-1
36.118067,-80.224293,-1
36.105975,-80.260878,194
36.1300179387755,-80.242099877551,191
36.09651,-80.242718,268
36.09651,-80.242718,268
36.105975,-80.260878,194
36.095849,-80.247516,256
36.027742,-80.263214,23
36.09651,-80.242718,268
36.151335,-80.274061,118
36.151335,-80.274061,118
36.115186,-80.241164,241
36.09651,-80.242718,268
36.09651,-80.242718,268
36.102139,-80.157537,-1
36.09651,-80.242718,268
36.0998808,-80.2451447,287
36.112456,-80.243858,248
36.1008624929304,-80.250596151647,270
36.105975,-80.260878,194
36.072671,-80.195671,126
36.09651,-80.242718,268
36.114524,-80.234315,273
36.09651,-80.242718,268
36.09651,-80.242718,268
36.106276,-80.23292,-1
36.09651,-80.242718,268
36.096392,-80.243757,265
36.1119871039741,-80.2474424865989,-1
36.0964196,-80.2429677,-1
36.105975,-80.260878,194
36.105975,-80.260878,194
36.09651,-80.242718,268
36.09651,-80.242718,268
36.1449617021277,-80.2548717659575,116
35.970017,-80.161942,-1
36.1898527989851,-80.2743032392171,20
36.072625,-80.338399,65
36.0487994855009,-80.3265724413342,13
36.087291,-80.328343,-1
36.0591394285714,-80.221246,129
36.0584403,-80.2245408,129
36.11342,-80.230478,-1
36.11342,-80.230478,-1
36.095842,-80.252208,226
36.077169,-80.321758,94
36.1110896136773,-80.2580235938486,-1
36.137160118653,-80.240956860848,160
36.072187,-80.182082,-1
36.060696,-80.24009,121
36.061684,-80.229407,-1
36.1389436234778,-80.2383988725115,156
36.0647366357905,-80.305084869983,79
